gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Species
evm.TU.Contig2712.808	4763.38	-0.5465805	0.1423184	-3.840547	0.00012276	0.000261449	KO
evm.TU.Contig2800.138	2621.851	-0.4694568	0.09463744	-4.960582	7.03E-07	1.92E-06	KO
evm.TU.Contig29751.130	1956.024	-1.208138	0.1078891	-11.19797	4.17E-29	5.81E-28	KO
evm.TU.Contig29751.267	2240.501	-0.6733002	0.1146785	-5.8712	4.33E-09	1.47E-08	KO
evm.TU.Contig29751.72	126.3217	-1.1752	0.2900872	-4.051196	5.10E-05	0.0001137	KO
evm.TU.Contig3098.349	757.8246	-0.2033705	0.1323547	-1.536556	0.124402	0.1654982	KO
evm.TU.Contig3230.109	10129.94	-2.167087	0.2334493	-9.2829	1.65E-20	1.35E-19	KO
evm.TU.Contig3230.20	9774.047	-2.523746	0.1908001	-13.22717	6.11E-40	1.55E-38	KO
evm.TU.Contig3230.210	597.0846	-0.7521082	0.1420688	-5.293972	1.20E-07	3.53E-07	KO
evm.TU.Contig3230.211	552.8802	-0.8883063	0.1507002	-5.894528	3.76E-09	1.29E-08	KO
